series_name,network,season,title,imdb,engagement,date_aired,year,run_time,format,monster_name,monster_gender,monster_type,monster_subtype,monster_species,monster_real,monster_amount,caught_fred,caught_daphnie,caught_velma,caught_shaggy,caught_scooby,captured_fred,captured_daphnie,captured_velma,captured_shaggy,captured_scooby,unmask_fred,unmask_daphnie,unmask_velma,unmask_shaggy,unmask_scooby,snack_fred,snack_daphnie,snack_velma,snack_shaggy,snack_scooby,unmask_other,caught_other,caught_not,trap_work_first,setting_terrain,setting_country_state,suspects_amount,non_suspect,arrested,culprit_name,culprit_gender,culprit_amount,motive,if_it_wasnt_for,and_that,door_gag,number_of_snacks,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo,batman,scooby_dum,scrappy_doo,hex_girls,blue_falcon,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
The New Scooby-Doo Movies,CBS,1,The Ghostly Creep from the Deep,7.4,90,11/25/72,1972,43,TV Series,"Ghost of Redbeard,Ghost of Redbeard's crew,Ghost of Redbeard's crew,Ghost of Redbeard's crew","Male,Male,Male,Male","Ghost,Ghost,Ghost,Ghost","Pirate,Pirate,Pirate,Pirate","Human,Human,Human,Human",FALSE,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Swamp,United States,1,TRUE,TRUE,Oil Pirate,Male,1,Natural Resource,,,FALSE,1,0,0,0,0,1,0,0,0,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,The Haunted Horseman of Hagglethorn Hall,7.8,86,12/2/72,1972,41,TV Series,"Haunted Horseman,Moat Monster","Male,Male","Ghost,Animal","Horseman,Amphibian","Human,Frog",FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Rural,United States,4,FALSE,FALSE,"Duke of Strathmore,Cyrus Wheedly","Male,Male",2,Competition,brats,,FALSE,0,0,0,0,0,1,0,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,The Phantom of the Country Music Hall,7.6,81,12/9/72,1972,41,TV Series,"Possessed Viking Mannequin,Possessed Davy Crockett Mannequin","Male,Male","Possessed Object,Possessed Object","Viking,Soldier","Human,Human",FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,Tennessee,2,FALSE,TRUE,"Bertha,Ben Bing","Female,Male",2,Theft,,,FALSE,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,The Caped Crusader Caper,7.2,183,12/16/72,1972,43,TV Series,"Dryad,Troll","Male,Male","Mythical,Mythical","Tree,Humanoid","Dryad,Troll",FALSE,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Forest,United States,2,FALSE,TRUE,"The Joker,The Penguin","Male,Male",2,Theft,,,FALSE,0,0,0,0,1,1,0,0,5,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,1,The Lochness Mess,7.9,114,12/23/72,1972,43,TV Series,"Sea Serpent,Ghost of Paul Revere,Minuteman Ghost,Redcoat Ghost","Male,Male,Male,Male","Mythical,Ghost,Ghost,Ghost","Sea-Monster,Phantom,Phantom,Phantom","Serpent,Human,Human,Human",FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Rural,Massachusetts,4,FALSE,TRUE,"Morgan,Winslow,Selby","Male,Male,Male",3,Treasure,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,The Mystery of Haunted Island,7.4,103,9/8/73,1973,44,TV Series,"Hooded Ghosts,Hooded Ghosts,Hooded Ghosts","Male,Male,Male","Ghost,Ghost,Ghost","Phantom,Phantom,Phantom","Human,Human,Human",FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Island,United States,2,FALSE,FALSE,"Scorpions Owner,Scorpions Coach,Scorpions Trainer","Male,Male,Male",3,Competition,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,The Haunted Showboat,7.9,82,9/15/73,1973,43,TV Series,"Ghost of Injun Joe,Ghost of Captain Scavenger","Male,Male","Ghost,Ghost","Phantom,Phantom","Human,Human",FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Coast,Missouri,3,FALSE,TRUE,"Jack Canna,Jack Canna's Partner","Male,Male",2,Counterfeit,,,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,Mystery in Persia,7.5,82,9/22/73,1973,43,TV Series,Jadal,Male,Mythical,Phantom,Genie,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Desert,Iran,3,FALSE,TRUE,Abdullah,Male,1,Competition,,,FALSE,3,0,0,0,1,1,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,The Spirited Spooked Sports Show,7.4,73,9/29/73,1973,43,TV Series,Spirit of Fireball McPhan,Male,Ghost,Phantom,Human,FALSE,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Urban,United States,3,FALSE,TRUE,"Jesse Finster,Mr Griffith's Twin Brother","Male,Male",2,Competition,,,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
The New Scooby-Doo Movies,CBS,2,The Exterminator,7.6,85,10/6/73,1973,44,TV Series,"Cat Creature,Frankenstein,Creepy Man,Ghost Bird,Unknown Exterminator,Ghostly Man,Invisible Couple,Sea Monster","Male,Male,Male,Male,Male,Male,Male,Male","Animal,Undead,Disguised,Animal,Disguise,Ghost,Ghost,Animal","Humanoid,Frankenstein's Monster,Creepy,Headless,Exterminator,Phantom,Phantom,Sea-Monster","Human,Human,Human,Bird,Human,Human,Human,Fish",FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Forest,California,1,FALSE,FALSE,"Otto,Lorne Chumley","Male,Male",2,Competition,,,FALSE,0,0,0,0,0,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,Frank Welker,Heather North,Nicole Jaffe,Casey Kasem,Don Messick
